variant,symbol,gross_alpha_contribution,net_alpha_contribution,pct_of_variant_net_alpha,abs_pct_of_variant_net_alpha,fee_cost_total,slippage_cost_total,funding_cost_total,total_cost,holding_days,long_days,short_days,is_baseline_top5_positive_symbol
baseline_current_long_short,BYBIT:DOTUSDT.P,0.06912631432767258,0.07262569188737678,0.254536234768081,0.254536234768081,0.00010475,0.000135,-0.003739127559704185,-0.003499377559704185,669,0,669,True
baseline_current_long_short,BYBIT:LTCUSDT.P,0.053995985129171725,0.05372606505067244,0.18829741860648727,0.18829741860648727,0.0002535595238095238,0.0003334126984126984,-0.0003170521437229437,0.0002699200784992785,699,577,122,True
baseline_current_long_short,BYBIT:XRPUSDT.P,0.053790133094240467,0.05005226569734292,0.17542160248152666,0.17542160248152666,7.1e-05,9e-05,0.003576867396897547,0.003737867396897547,699,699,0,True
baseline_current_long_short,BYBIT:XLMUSDT.P,0.04892420785557842,0.04817931365646226,0.16885733922980792,0.16885733922980792,6.110416666666666e-05,7.680555555555555e-05,0.0006069844768939396,0.0007448941991161618,607,546,61,True
baseline_current_long_short,BYBIT:ZECUSDT.P,0.04619255309430061,0.04806924509430061,0.16847157440401583,0.16847157440401583,2.6e-05,3.0000000000000004e-05,-0.001932692,-0.001876692,244,212,32,True
baseline_current_long_short,BYBIT:XTZUSDT.P,0.04546392554654073,0.04721812081519154,0.16548858086971568,0.16548858086971568,0.00012375,0.000165,-0.002042945268650794,-0.001754195268650794,581,0,581,False
baseline_current_long_short,BYBIT:FLOWUSDT.P,0.048296376515856526,0.04511504031585653,0.1581177706536143,0.1581177706536143,1.1e-05,1e-05,0.0031603361999999998,0.0031813362,516,0,516,False
baseline_current_long_short,BYBIT:GALAUSDT.P,0.037119319632363784,0.03873415783236379,0.1357542549384801,0.1357542549384801,1.1e-05,1e-05,-0.0016358382000000002,-0.0016148382000000002,516,0,516,False
baseline_current_long_short,BYBIT:EGLDUSDT.P,0.03453706001492959,0.03632560661492958,0.1273128405822151,0.1273128405822151,1.1e-05,1e-05,-0.0018095466000000004,-0.0017885466000000004,516,0,516,False
baseline_current_long_short,BYBIT:SANDUSDT.P,0.031119522454638233,0.03217139765463823,0.11275330001588042,0.11275330001588042,1.1e-05,1e-05,-0.0010728752000000003,-0.0010518752000000004,516,0,516,False
